192.168.219.1 - - [13/Sep/2021:02:51:15 +0000] "GET /w/user/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 - "http://180.83.98.139/w/user/assets/css/font-awesome.min.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
192.168.219.1 - - [13/Sep/2021:02:51:15 +0000] "GET /w/user/images/boardMain1.png HTTP/1.1" 304 - "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
192.168.219.1 - - [13/Sep/2021:02:51:16 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
192.168.219.1 - - [13/Sep/2021:02:55:48 +0000] "GET /w/user/boardMain.html HTTP/1.1" 304 - "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
192.168.219.1 - - [13/Sep/2021:02:55:48 +0000] "GET /w/user/assets/css/main.css HTTP/1.1" 304 - "http://180.83.98.139/w/user/boardMain.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
192.168.219.1 - - [13/Sep/2021:02:55:48 +0000] "GET /w/user/assets/js/includeHTML.js HTTP/1.1" 304 - "http://180.83.98.139/w/user/boardMain.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
192.168.219.1 - - [13/Sep/2021:02:55:48 +0000] "GET /w/user/assets/js/loadHTML.js HTTP/1.1" 304 - "http://180.83.98.139/w/user/boardMain.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
192.168.219.1 - - [13/Sep/2021:02:55:48 +0000] "GET /w/user/assets/js/jquery.min.js HTTP/1.1" 304 - "http://180.83.98.139/w/user/boardMain.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
192.168.219.1 - - [13/Sep/2021:02:55:48 +0000] "GET /w/user/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 - "http://180.83.98.139/w/user/boardMain.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
192.168.219.1 - - [13/Sep/2021:02:55:48 +0000] "GET /w/user/assets/js/skel.min.js HTTP/1.1" 304 - "http://180.83.98.139/w/user/boardMain.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
192.168.219.1 - - [13/Sep/2021:02:55:48 +0000] "GET /w/user/assets/js/util.js HTTP/1.1" 304 - "http://180.83.98.139/w/user/boardMain.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
